,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-14,-10.8,-7.5,0,Саратов
2,1936-01-02,-9.2,-6.9,-4.9,0,Саратов
3,1936-01-03,-13.5,-9.9,-5.8,0,Саратов
4,1936-01-04,-17.4,-14.9,-10.4,0,Саратов
5,1936-01-05,-20.4,-14.2,-9.9,0,Саратов
6,1936-01-06,-15,-11.3,-9.7,0.4,Саратов
7,1936-01-07,-17,-10.8,-5.5,0,Саратов
8,1936-01-08,-13.5,-9.2,-6.8,0,Саратов
9,1936-01-09,-21,-18.4,-12.7,0,Саратов
10,1936-01-10,-22,-17.8,-13.2,0.2,Саратов
11,1936-01-11,-17.5,-14.6,-12.4,1.5,Саратов
12,1936-01-12,-12.4,-5.4,-0.4,16,Саратов
13,1936-01-13,-5.5,-2.8,-0.3,6.1,Саратов
14,1936-01-14,-4,-2,-0.6,3.5,Саратов
15,1936-01-15,-5.7,-3.7,-2.2,0.2,Саратов
16,1936-01-16,-10.1,-7.9,-3.4,1,Саратов
17,1936-01-17,-11.2,-8.2,-4.9,0,Саратов
18,1936-01-18,-14.5,-11.2,-10,0.1,Саратов
19,1936-01-19,-15.2,-11.3,-8.1,0,Саратов
20,1936-01-20,-17,-15.8,-14.3,0.4,Саратов
21,1936-01-21,-18,-14.9,-12.2,0.1,Саратов
22,1936-01-22,-15.3,-12.4,-10.7,0.2,Саратов
23,1936-01-23,-15.5,-8,-4.2,0,Саратов
24,1936-01-24,-15.5,-7.4,-3.3,0.1,Саратов
25,1936-01-25,-17.9,-8,-1.3,0.8,Саратов
26,1936-01-26,-4.8,-2.5,-0.7,0.3,Саратов
27,1936-01-27,-4.6,-3.2,-1,0,Саратов
28,1936-01-28,-11.4,-7.5,-3.8,0,Саратов
29,1936-01-29,-8.7,-7.6,-6.4,8.2,Саратов
30,1936-01-30,-10.8,-8.9,-6.8,4.7,Саратов
31,1936-01-31,-24,-20.4,-10.6,1,Саратов
33,1936-02-01,-22.9,-18,-12.6,0,Саратов
34,1936-02-02,-23.9,-20,-15.5,0,Саратов
35,1936-02-03,-19.4,-15,-12.8,0,Саратов
36,1936-02-04,-15.8,-13.4,-11.8,0,Саратов
37,1936-02-05,-20.4,-16.9,-14.8,0,Саратов
38,1936-02-06,-22.7,-17.4,-12.5,0,Саратов
39,1936-02-07,-18.9,-14.4,-11.9,0,Саратов
40,1936-02-08,-16.7,-12.8,-9.2,0,Саратов
41,1936-02-09,-18.2,-16,-14.1,0.1,Саратов
42,1936-02-10,-15.9,-9,-5.2,2.6,Саратов
43,1936-02-11,-22.8,-13.7,-1.2,0,Саратов
44,1936-02-12,-29.9,-22.3,-19.9,0.8,Саратов
45,1936-02-13,-20.2,-15.9,-12.2,8.2,Саратов
46,1936-02-14,-12.9,-10.3,-8,1.2,Саратов
47,1936-02-15,-16.2,-12.2,-6.5,0,Саратов
48,1936-02-16,-19.6,-14.2,-9.7,0.6,Саратов
49,1936-02-17,-25.6,-20.9,-16.4,0.1,Саратов
50,1936-02-18,-28.4,-24.4,-17.5,0,Саратов
51,1936-02-19,-29.5,-25.3,-21,0,Саратов
52,1936-02-20,-21.8,-14.1,-11.2,10.5,Саратов
53,1936-02-21,-14.7,-11.6,-9.1,5.2,Саратов
54,1936-02-22,-19.3,-16.8,-13.8,0,Саратов
55,1936-02-23,-20.8,-16.8,-13.9,0,Саратов
56,1936-02-24,-22.9,-18.4,-12.5,0,Саратов
57,1936-02-25,-23.8,-18.3,-12.1,0,Саратов
58,1936-02-26,-23.1,-20.1,-13.6,0,Саратов
59,1936-02-27,-25.6,-20.8,-15.6,0,Саратов
60,1936-02-28,-26.8,-20.5,-14.7,0,Саратов
61,1936-02-29,-15.9,-9.6,-5.6,0.2,Саратов
63,1936-03-01,-18.9,-15.4,-12.2,0.1,Саратов
64,1936-03-02,-13.8,-11.1,-7.4,0,Саратов
65,1936-03-03,-17.3,-14.3,-8.8,0,Саратов
66,1936-03-04,-20.6,-14.8,-10,0,Саратов
67,1936-03-05,-18.6,-13.3,-8.6,0,Саратов
68,1936-03-06,-19.8,-14.5,-6.1,0,Саратов
69,1936-03-07,-19,-10.2,-0.2,0,Саратов
70,1936-03-08,-8.8,-4.2,-1.2,0,Саратов
71,1936-03-09,-13.5,-8.5,-1.3,0,Саратов
72,1936-03-10,-16.5,-11.2,-5.8,0,Саратов
73,1936-03-11,-20.4,-15.4,-10.5,0,Саратов
74,1936-03-12,-19.7,-15.1,-9.2,0,Саратов
75,1936-03-13,-17.6,-12.4,-8.3,0,Саратов
76,1936-03-14,-12,-5,0.1,0,Саратов
77,1936-03-15,-9.5,-5.4,-0.8,0,Саратов
78,1936-03-16,-14.9,-11.7,-8.1,0.1,Саратов
79,1936-03-17,-13.7,-8.4,-3.3,0.6,Саратов
80,1936-03-18,-3.3,-1.4,2.7,3.1,Саратов
81,1936-03-19,-4.6,-2.6,-0.8,6.2,Саратов
82,1936-03-20,-1.8,0.9,3.2,0.2,Саратов
83,1936-03-21,-7.7,-5.4,-1.1,0,Саратов
84,1936-03-22,-9.8,-6.2,-3,0,Саратов
85,1936-03-23,-4.6,0.2,3.2,0,Саратов
86,1936-03-24,-4.9,-0.2,2.4,0.1,Саратов
87,1936-03-25,-10.4,-8.2,-4.7,0,Саратов
88,1936-03-26,-11.6,-8.8,-6,0,Саратов
89,1936-03-27,-11.3,-8.4,-5.4,0,Саратов
90,1936-03-28,-11.1,-8.2,-5,2.3,Саратов
91,1936-03-29,-9.2,-7.8,-6.5,4.1,Саратов
92,1936-03-30,-10.2,-5.8,-0.1,0.3,Саратов
93,1936-03-31,-6.1,-2.9,-0.5,0,Саратов
95,1936-04-01,-11.5,-5.3,3.1,0,Саратов
96,1936-04-02,-8,-2.8,2.9,0,Саратов
97,1936-04-03,-10.3,-5.6,-1.3,0,Саратов
98,1936-04-04,-9.9,-4.1,0.4,0,Саратов
99,1936-04-05,-1.3,0.6,2.5,4.8,Саратов
100,1936-04-06,-1.3,0.3,2.3,7,Саратов
101,1936-04-07,-6.8,-2.9,0.4,0,Саратов
102,1936-04-08,-7.6,-2.9,0.6,0,Саратов
103,1936-04-09,-5.8,-3.4,-0.1,5.6,Саратов
104,1936-04-10,-2.6,-1,0.3,1.4,Саратов
105,1936-04-11,-2.7,-0.1,3.1,0,Саратов
106,1936-04-12,-1.7,1.6,6,0,Саратов
107,1936-04-13,-2.1,0.8,3.9,0,Саратов
108,1936-04-14,-2.1,2.4,6.1,0,Саратов
109,1936-04-15,1.2,2.6,4,2.3,Саратов
110,1936-04-16,0.7,3.9,8.2,0.2,Саратов
111,1936-04-17,1.7,4.8,8.6,0,Саратов
112,1936-04-18,1.5,5.9,11.1,0,Саратов
113,1936-04-19,3.3,8,12.9,0,Саратов
114,1936-04-20,4.5,6.9,10.3,0.4,Саратов
115,1936-04-21,6.9,9,12.6,0,Саратов
116,1936-04-22,3.5,6.4,11.6,0,Саратов
117,1936-04-23,3,9.6,15.6,0,Саратов
118,1936-04-24,4.3,10,16.4,0,Саратов
119,1936-04-25,3.4,12,18.4,0,Саратов
120,1936-04-26,8.3,14.6,20,0,Саратов
121,1936-04-27,5.2,12.4,19.3,0,Саратов
122,1936-04-28,4,13.6,20.3,0,Саратов
123,1936-04-29,7.2,12.6,18.7,0,Саратов
124,1936-04-30,3.4,10.6,16.5,0,Саратов
126,1936-05-01,2,12.7,18.6,0,Саратов
127,1936-05-02,4,14.4,19.1,0,Саратов
128,1936-05-03,11.9,17.3,23.1,0,Саратов
129,1936-05-04,11.3,16.8,22.7,0,Саратов
130,1936-05-05,6.9,10.9,19.3,7.4,Саратов
131,1936-05-06,2.8,8.1,14.1,0,Саратов
132,1936-05-07,0.6,4.9,11.9,3.2,Саратов
133,1936-05-08,0.1,10,15.5,0,Саратов
134,1936-05-09,7.2,13.6,19.5,0,Саратов
135,1936-05-10,8.9,16.3,22.1,0,Саратов
136,1936-05-11,9,16.8,21.1,0,Саратов
137,1936-05-12,9.8,14.5,20.1,0.1,Саратов
138,1936-05-13,7.7,15.3,20.8,0,Саратов
139,1936-05-14,9.6,19.8,24.7,0,Саратов
140,1936-05-15,7.4,14.8,23.6,0.1,Саратов
141,1936-05-16,1.5,4,8.3,0,Саратов
142,1936-05-17,-2.6,7.4,13.6,0,Саратов
143,1936-05-18,5.3,12.3,17,0,Саратов
144,1936-05-19,6.3,13.8,19.5,0,Саратов
145,1936-05-20,4.2,11,15.3,0,Саратов
146,1936-05-21,7.2,11.4,15.4,0,Саратов
147,1936-05-22,8.9,11.2,14.6,4.4,Саратов
148,1936-05-23,10.1,15,21.6,0,Саратов
149,1936-05-24,11.6,17.4,23.3,0,Саратов
150,1936-05-25,14.6,21.2,28.3,0,Саратов
151,1936-05-26,9.1,13,24.8,0,Саратов
152,1936-05-27,7.4,16.8,22.2,0,Саратов
153,1936-05-28,8.1,18.9,24.9,0,Саратов
154,1936-05-29,14.9,21.4,28.6,0,Саратов
155,1936-05-30,17.1,22.7,28.4,0,Саратов
156,1936-05-31,16.7,25.2,32.2,0.2,Саратов
158,1936-06-01,17.4,24.5,31,0.8,Саратов
159,1936-06-02,17.7,26.8,33.3,0.1,Саратов
160,1936-06-03,16.1,22.7,29.7,17.4,Саратов
161,1936-06-04,16.4,23.4,29.2,0,Саратов
162,1936-06-05,16.8,24.2,30.2,0,Саратов
163,1936-06-06,18.4,25.1,31.6,0,Саратов
164,1936-06-07,18.2,23.2,29.5,0,Саратов
165,1936-06-08,18.6,24.2,29.2,0,Саратов
166,1936-06-09,20.2,22.7,26,0,Саратов
167,1936-06-10,12.9,16.3,23,0,Саратов
168,1936-06-11,9.4,20.5,26.3,0,Саратов
169,1936-06-12,14.8,23.1,28.5,0,Саратов
170,1936-06-13,14.7,22,29,0,Саратов
171,1936-06-14,14.7,23.9,31,0,Саратов
172,1936-06-15,17.2,24.5,31.2,0,Саратов
173,1936-06-16,18.2,25,31.8,0,Саратов
174,1936-06-17,16.9,21.6,27.7,0.2,Саратов
175,1936-06-18,12.4,19.8,26.3,0,Саратов
176,1936-06-19,10.7,19.8,26.2,0,Саратов
177,1936-06-20,10.8,24.1,30.7,0,Саратов
178,1936-06-21,18.9,26.7,32.7,0,Саратов
179,1936-06-22,16.3,18.4,27.6,6.7,Саратов
180,1936-06-23,14.6,21.1,27.9,0,Саратов
181,1936-06-24,18.4,23.4,30.8,0.3,Саратов
182,1936-06-25,16.6,24.3,29.4,0,Саратов
183,1936-06-26,19.9,26.6,32.9,0.1,Саратов
184,1936-06-27,19.1,24.1,30.2,0,Саратов
185,1936-06-28,13.9,24.2,29.2,0,Саратов
186,1936-06-29,16.7,23.6,30.3,0,Саратов
187,1936-06-30,13.5,19.3,25,0,Саратов
189,1936-07-01,13.4,22.7,28.2,0,Саратов
190,1936-07-02,14.6,20.1,25.8,0,Саратов
191,1936-07-03,11.8,25.8,32.3,0,Саратов
192,1936-07-04,17,25.7,31.4,0,Саратов
193,1936-07-05,19.4,25.4,33.8,0.1,Саратов
194,1936-07-06,20.4,29.3,36.2,0,Саратов
195,1936-07-07,18.2,27.8,35.7,3.8,Саратов
196,1936-07-08,19.1,25.4,33.4,0,Саратов
197,1936-07-09,16.7,18.2,24.2,6.9,Саратов
198,1936-07-10,14.9,20.9,27.1,0,Саратов
199,1936-07-11,17.7,23.4,29.4,0,Саратов
200,1936-07-12,14.3,22.8,29.4,0,Саратов
201,1936-07-13,17.6,26.3,32.6,0,Саратов
202,1936-07-14,18,27.9,32.7,0,Саратов
203,1936-07-15,19.8,28.1,33.9,0,Саратов
204,1936-07-16,19.1,29.5,35.7,0,Саратов
205,1936-07-17,22.8,29.2,37,0,Саратов
206,1936-07-18,18.1,20.9,29.4,1.3,Саратов
207,1936-07-19,14.8,20.7,27.7,0.9,Саратов
208,1936-07-20,16.1,21.3,26.3,0,Саратов
209,1936-07-21,13.6,20.5,25.8,0,Саратов
210,1936-07-22,11.9,20.5,26.6,0,Саратов
211,1936-07-23,18,24.2,31.2,0,Саратов
212,1936-07-24,17.6,25.5,31.2,9.8,Саратов
213,1936-07-25,19.9,24.9,30.9,1.4,Саратов
214,1936-07-26,19,25.2,32.3,0.6,Саратов
215,1936-07-27,18.5,28.1,34.7,0.5,Саратов
216,1936-07-28,21.3,26.2,31.8,0,Саратов
217,1936-07-29,18.4,25.3,31.7,0,Саратов
218,1936-07-30,16.7,26.7,33,0,Саратов
219,1936-07-31,19.4,31.2,37,0,Саратов
221,1936-08-01,24.2,31,38.2,0,Саратов
222,1936-08-02,21.6,32,37.8,0,Саратов
223,1936-08-03,24.4,30.6,39.1,0.7,Саратов
224,1936-08-04,23.2,30.5,36.2,0,Саратов
225,1936-08-05,24.2,31.5,38,0.1,Саратов
226,1936-08-06,25.5,29.1,35.3,0.4,Саратов
227,1936-08-07,22.2,28.7,36,0.2,Саратов
228,1936-08-08,19.6,24.5,30.6,0,Саратов
229,1936-08-09,17,20.7,25.9,0,Саратов
230,1936-08-10,14.2,22.6,28.8,0,Саратов
231,1936-08-11,15.7,24.6,30,0,Саратов
232,1936-08-12,18.7,24.3,29.7,0,Саратов
233,1936-08-13,21,24.9,29.7,0,Саратов
234,1936-08-14,18.8,26.8,33.1,0,Саратов
235,1936-08-15,16.6,26.5,32.9,0,Саратов
236,1936-08-16,18.2,24.9,32.4,0,Саратов
237,1936-08-17,19.7,26.5,31.3,0,Саратов
238,1936-08-18,16.1,21.6,27.5,0,Саратов
239,1936-08-19,14,20.3,27.7,0,Саратов
240,1936-08-20,11.6,17.8,23.3,0,Саратов
241,1936-08-21,13.4,20,26.4,0,Саратов
242,1936-08-22,16.4,20.7,27.4,0,Саратов
243,1936-08-23,13,20.2,26.3,0,Саратов
244,1936-08-24,9.4,16,22.6,0,Саратов
245,1936-08-25,5.6,15.6,21.3,0,Саратов
246,1936-08-26,8,16,19.1,0,Саратов
247,1936-08-27,10.5,14.1,18.6,13.4,Саратов
248,1936-08-28,12.4,14,20.2,5,Саратов
249,1936-08-29,9.9,17.5,22.7,0,Саратов
250,1936-08-30,12.9,18.2,23.9,0,Саратов
251,1936-08-31,11.8,15.3,21.3,0,Саратов
253,1936-09-01,13,20.2,26.2,2.1,Саратов
254,1936-09-02,10.5,14.8,22.7,3,Саратов
255,1936-09-03,9.5,12.4,17.1,0,Саратов
256,1936-09-04,9.1,10.8,14.2,2.2,Саратов
257,1936-09-05,11.2,13.6,17.7,0.7,Саратов
258,1936-09-06,10.4,12.6,15.8,1,Саратов
259,1936-09-07,7.6,12.3,19.1,0,Саратов
260,1936-09-08,8.8,15.3,21.4,0,Саратов
261,1936-09-09,9.1,17.3,25.1,0,Саратов
262,1936-09-10,13.6,19.9,26.5,0,Саратов
263,1936-09-11,8.4,12.6,20.6,1.4,Саратов
264,1936-09-12,6.6,8.7,11.6,45.1,Саратов
265,1936-09-13,5.3,7.4,11.1,0,Саратов
266,1936-09-14,6.7,8.8,11.3,0,Саратов
267,1936-09-15,5,8.1,11.6,0.6,Саратов
268,1936-09-16,3.1,7.6,13.3,0,Саратов
269,1936-09-17,4.8,10.8,15.7,0,Саратов
270,1936-09-18,5.3,8.5,13.1,0.6,Саратов
271,1936-09-19,2.4,8.5,15.3,0,Саратов
272,1936-09-20,6.4,13.4,18.5,0,Саратов
273,1936-09-21,8.5,10.7,15.5,0,Саратов
274,1936-09-22,8.4,13.7,18.4,0,Саратов
275,1936-09-23,12.7,17.2,21,0,Саратов
276,1936-09-24,11.3,15.3,20.7,0,Саратов
277,1936-09-25,9.1,13.8,18.2,0,Саратов
278,1936-09-26,4.9,12.5,19.1,0,Саратов
279,1936-09-27,9.9,14.4,20.7,0,Саратов
280,1936-09-28,5,14.4,22.5,0,Саратов
281,1936-09-29,8.7,16,24.9,0,Саратов
282,1936-09-30,12.1,16.6,24.1,1,Саратов
284,1936-10-01,13,17.8,24.1,2.9,Саратов
285,1936-10-02,11.8,18.4,24.9,0,Саратов
286,1936-10-03,9.3,11.5,19.6,5.4,Саратов
287,1936-10-04,6.9,7.7,9.7,12.8,Саратов
288,1936-10-05,0.6,4,8.1,0.5,Саратов
289,1936-10-06,-1,2.8,5.4,0,Саратов
290,1936-10-07,0,5.7,9.3,0,Саратов
291,1936-10-08,2.9,9,13.6,0,Саратов
292,1936-10-09,8.5,11.9,14.5,7.8,Саратов
293,1936-10-10,2.9,3.8,14.5,10.1,Саратов
294,1936-10-11,0,0.9,3.2,3.2,Саратов
295,1936-10-12,-0.6,0.5,1.5,0,Саратов
296,1936-10-13,-2.4,-0.8,0.9,12.3,Саратов
297,1936-10-14,-3.4,2.8,6.4,0,Саратов
298,1936-10-15,-0.7,3,5.9,0,Саратов
299,1936-10-16,2,5.9,9.3,0,Саратов
300,1936-10-17,5.3,6,9.8,0,Саратов
301,1936-10-18,3,5.5,8.6,7.4,Саратов
302,1936-10-19,2,5.5,8.7,3.1,Саратов
303,1936-10-20,6.5,7.7,10.1,0,Саратов
304,1936-10-21,3.4,8.3,11.6,1.7,Саратов
305,1936-10-22,0.5,1.5,12.8,2.8,Саратов
306,1936-10-23,-1.4,1.2,2.9,0,Саратов
307,1936-10-24,-0.5,1.5,3.8,0,Саратов
308,1936-10-25,0,3.8,6.7,0,Саратов
309,1936-10-26,0.5,3.6,7.5,0,Саратов
310,1936-10-27,-0.4,2.2,5.8,0,Саратов
311,1936-10-28,-3,0.2,5.1,0,Саратов
312,1936-10-29,-3,-2.2,-1,0.4,Саратов
313,1936-10-30,-3.5,-2.4,-1,0,Саратов
314,1936-10-31,-6,1.3,8.7,0,Саратов
316,1936-11-01,-2.5,3.8,11.2,0,Саратов
317,1936-11-02,-2.4,1.5,7.5,0,Саратов
318,1936-11-03,-1,4.3,6.5,0,Саратов
319,1936-11-04,5.4,7.9,11,0,Саратов
320,1936-11-05,2.7,5.9,8.6,0,Саратов
321,1936-11-06,1.4,4.9,7.8,0,Саратов
322,1936-11-07,-1,2.4,5.6,0,Саратов
323,1936-11-08,-0.7,2,4.9,0,Саратов
324,1936-11-09,1.3,4.6,7.3,0,Саратов
325,1936-11-10,2.5,5.4,9.7,0.2,Саратов
326,1936-11-11,4.8,5.7,6.8,0,Саратов
327,1936-11-12,5.5,7.5,8.4,0,Саратов
328,1936-11-13,6,7.7,9.8,0,Саратов
329,1936-11-14,1.2,1.8,6.3,0,Саратов
330,1936-11-15,1.3,3.6,4.4,0,Саратов
331,1936-11-16,3.5,6.3,8.9,0,Саратов
332,1936-11-17,2.9,3.5,5.7,1.8,Саратов
333,1936-11-18,1,4.1,7.9,14.5,Саратов
334,1936-11-19,-3,-1,5.1,0.2,Саратов
335,1936-11-20,-7.4,-6.2,-2.5,0,Саратов
336,1936-11-21,-10.5,-7.4,-5.3,0,Саратов
337,1936-11-22,-8.3,-6.2,-4.6,0,Саратов
338,1936-11-23,-7.8,-4.5,-0.9,0,Саратов
339,1936-11-24,-8.4,-4.4,-1.9,0,Саратов
340,1936-11-25,-6,-2.5,0.6,0,Саратов
341,1936-11-26,-11.4,-9.4,-3.2,0.6,Саратов
342,1936-11-27,-13.3,-8.6,-4,0,Саратов
343,1936-11-28,-9.9,-5.2,-1,0,Саратов
344,1936-11-29,-9.5,-5.8,-1.5,0,Саратов
345,1936-11-30,-7.8,-5.2,-3.2,0.6,Саратов
347,1936-12-01,-3.8,-2.2,-0.7,0.3,Саратов
348,1936-12-02,-2.2,0.2,0.8,0.2,Саратов
349,1936-12-03,-0.4,2.3,3.1,1.3,Саратов
350,1936-12-04,-2.1,-1.1,2,0.3,Саратов
351,1936-12-05,-5,-2.8,-0.1,0,Саратов
352,1936-12-06,-8.3,-4.6,-1.7,0,Саратов
353,1936-12-07,-6.1,-3,0.1,0,Саратов
354,1936-12-08,-7.3,-4.5,-1,0,Саратов
355,1936-12-09,-9.1,-7.5,-3.7,0.2,Саратов
356,1936-12-10,-12.6,-8.4,-6.3,0,Саратов
357,1936-12-11,-10.9,-2.1,-1.2,0,Саратов
358,1936-12-12,-2.2,-1.6,-0.7,0.1,Саратов
359,1936-12-13,-4.1,-3.3,-1.5,0,Саратов
360,1936-12-14,-7.6,-6,-3.5,0,Саратов
361,1936-12-15,-11.1,-8.2,-5,0,Саратов
362,1936-12-16,-11.6,-8.4,-7,0,Саратов
363,1936-12-17,-8.8,-7,-6.1,0.3,Саратов
364,1936-12-18,-10.2,-8,-6,0.3,Саратов
365,1936-12-19,-7.8,-5.4,-4.7,0.7,Саратов
366,1936-12-20,-5.1,-3.4,-2.1,0,Саратов
367,1936-12-21,-4,-2.2,-2,0,Саратов
368,1936-12-22,-3.8,-1.1,-0.3,0,Саратов
369,1936-12-23,-0.6,0.7,1.4,0,Саратов
370,1936-12-24,-1.7,-0.7,1,0.4,Саратов
371,1936-12-25,-2.1,-0.1,2,0.5,Саратов
372,1936-12-26,-0.8,0.2,2.2,0,Саратов
373,1936-12-27,-8.1,-7,-0.3,0,Саратов
374,1936-12-28,-13,-9.7,-7.3,0.4,Саратов
375,1936-12-29,-8.5,-6.6,-4.7,0.2,Саратов
376,1936-12-30,-15.6,-13.2,-7.4,0,Саратов
377,1936-12-31,-17.3,-14.4,-12.1,0,Саратов
379,1937-01-01,-14.9,-7.5,-4,0,Саратов
380,1937-01-02,-5,-0.1,0.2,0,Саратов
381,1937-01-03,-1.5,-0.7,0.5,0,Саратов
382,1937-01-04,-5.1,-3.5,-1.2,0,Саратов
383,1937-01-05,-4.9,-3.6,-2.6,1.8,Саратов
384,1937-01-06,-7,-6.3,-3.3,0,Саратов
385,1937-01-07,-6.4,-5.4,-4.2,0,Саратов
386,1937-01-08,-9.7,-8.3,-5.7,0,Саратов
387,1937-01-09,-10.4,-10,-8.6,0.4,Саратов
388,1937-01-10,-17.3,-13.9,-9.3,0.3,Саратов
389,1937-01-11,-18.1,-17.4,-14.3,0,Саратов
390,1937-01-12,-19.8,-15.7,-12.8,0,Саратов
391,1937-01-13,-17.6,-16.3,-13.8,0,Саратов
392,1937-01-14,-18.6,-13.6,-11.5,0.5,Саратов
393,1937-01-15,-14.5,-10.8,-7.8,0.8,Саратов
394,1937-01-16,-14.5,-10.9,-6.8,2.6,Саратов
395,1937-01-17,-21.2,-18.9,-12.4,0.6,Саратов
396,1937-01-18,-21.8,-16.2,-14.5,0.2,Саратов
397,1937-01-19,-18.3,-15.1,-10.4,0,Саратов
398,1937-01-20,-19,-17.4,-13.5,0.7,Саратов
399,1937-01-21,-20.8,-17.1,-16.5,0.2,Саратов
400,1937-01-22,-18.5,-15.7,-12,0.5,Саратов
401,1937-01-23,-20.5,-18.8,-13.3,0,Саратов
402,1937-01-24,-23.5,-20.5,-17.8,0,Саратов
403,1937-01-25,-21.7,-17.9,-14.2,0,Саратов
404,1937-01-26,-21.4,-16.1,-12.3,0,Саратов
405,1937-01-27,-18.1,-15.1,-12.8,0,Саратов
406,1937-01-28,-20.2,-15.8,-12.6,0.3,Саратов
407,1937-01-29,-23.7,-21.9,-18.7,0,Саратов
408,1937-01-30,-25.7,-22.9,-20.4,0,Саратов
409,1937-01-31,-27.1,-23.1,-20.7,0,Саратов
411,1937-02-01,-23.4,-19.5,-16.4,0,Саратов
412,1937-02-02,-20.1,-13.6,-10.6,0,Саратов
413,1937-02-03,-15.5,-11.7,-8.5,0.2,Саратов
414,1937-02-04,-23.4,-17.9,-14.4,0,Саратов
415,1937-02-05,-17,-11.5,-8.8,1.9,Саратов
416,1937-02-06,-12.5,-8.5,-5.9,2,Саратов
417,1937-02-07,-6.1,-1,1,2.9,Саратов
418,1937-02-08,-0.2,0.2,2,9.4,Саратов
419,1937-02-09,-6.5,-5.5,0,9.1,Саратов
420,1937-02-10,-13.5,-11.7,-3.4,1.5,Саратов
421,1937-02-11,-16.3,-13.2,-8.8,0,Саратов
422,1937-02-12,-14.2,-11.3,-10.2,1.9,Саратов
423,1937-02-13,-11.6,-10.9,-9.3,0.4,Саратов
424,1937-02-14,-12,-8.2,-5.7,0,Саратов
425,1937-02-15,-6.4,-4.9,-4,0.5,Саратов
426,1937-02-16,-5.4,-4.3,-3.6,9.9,Саратов
427,1937-02-17,-8.8,-6.2,-3.2,5.9,Саратов
428,1937-02-18,-11.8,-10.9,-8.6,0.5,Саратов
429,1937-02-19,-15,-13.9,-11,0.5,Саратов
430,1937-02-20,-17.1,-15,-12,0,Саратов
431,1937-02-21,-20.5,-18.3,-14.4,0.1,Саратов
432,1937-02-22,-21.5,-17.3,-14,0,Саратов
433,1937-02-23,-15.7,-12.8,-10.8,0.2,Саратов
434,1937-02-24,-15.2,-11.1,-8.4,0.3,Саратов
435,1937-02-25,-16,-9.7,-7.5,0.4,Саратов
436,1937-02-26,-10.6,-6.8,-3.7,3.6,Саратов
437,1937-02-27,-12.7,-10.6,-6.4,5.2,Саратов
438,1937-02-28,-11.1,-9.1,-7.6,0.3,Саратов
440,1937-03-01,-14.7,-12.1,-5.7,0,Саратов
441,1937-03-02,-22,-12.3,-5.3,0,Саратов
442,1937-03-03,-16.9,-15.2,-9.4,0,Саратов
443,1937-03-04,-26.8,-21.6,-16.5,0,Саратов
444,1937-03-05,-22.7,-8.5,-4.5,0,Саратов
445,1937-03-06,-12.2,-9.5,-3.2,0,Саратов
446,1937-03-07,-14.6,-10.7,-8.4,0,Саратов
447,1937-03-08,-8.7,-4.9,-3.4,0,Саратов
448,1937-03-09,-3.8,0.7,2.6,4,Саратов
449,1937-03-10,-4.2,0.2,2.9,0,Саратов
450,1937-03-11,-0.3,0.4,2.7,2.3,Саратов
451,1937-03-12,-0.7,0.1,0.5,4.2,Саратов
452,1937-03-13,0.2,1.1,2.4,0,Саратов
453,1937-03-14,-1.6,-1.3,1.2,0,Саратов
454,1937-03-15,-6.3,-2.5,0.4,0,Саратов
455,1937-03-16,-3.6,-0.5,0.6,0,Саратов
456,1937-03-17,-0.6,0.2,0.7,0.8,Саратов
457,1937-03-18,-0.8,-0.5,-0.1,1.7,Саратов
458,1937-03-19,-1.6,0.2,1,0.9,Саратов
459,1937-03-20,-1,0,1.5,0.8,Саратов
460,1937-03-21,-0.4,1,2.9,0,Саратов
461,1937-03-22,-0.8,-0.2,1,0,Саратов
462,1937-03-23,-1.1,0.4,2.4,0,Саратов
463,1937-03-24,-0.4,1.4,3.7,0,Саратов
464,1937-03-25,-1.5,-0.8,2.7,0,Саратов
465,1937-03-26,-1.8,1.9,5.9,0,Саратов
466,1937-03-27,-0.6,4.1,9.8,0,Саратов
467,1937-03-28,-0.4,6,11.7,0,Саратов
468,1937-03-29,0.2,6.7,12.3,0,Саратов
469,1937-03-30,0,6.3,12.3,0,Саратов
470,1937-03-31,1.8,6.2,12.5,0,Саратов
472,1937-04-01,-1.4,-0.3,8.4,1.7,Саратов
473,1937-04-02,-1.6,1.1,4.2,1.5,Саратов
474,1937-04-03,-3.2,-0.5,1.5,0,Саратов
475,1937-04-04,-2.5,0.5,4.2,0,Саратов
476,1937-04-05,-2.5,-0.3,3.2,0.2,Саратов
477,1937-04-06,-4.6,0.9,3.5,0,Саратов
478,1937-04-07,-0.2,2.5,5.6,0,Саратов
479,1937-04-08,-2.7,3.4,8.4,0,Саратов
480,1937-04-09,1.4,4.8,9.6,0,Саратов
481,1937-04-10,1.5,5.3,11.1,0.2,Саратов
482,1937-04-11,-0.6,5.3,9.2,0,Саратов
483,1937-04-12,2.2,5.8,8.8,0.1,Саратов
484,1937-04-13,2.6,6.5,12.3,0.3,Саратов
485,1937-04-14,-1.1,4.4,9.1,0,Саратов
486,1937-04-15,-2.4,5.2,11.8,0,Саратов
487,1937-04-16,-0.3,7.1,12.9,0,Саратов
488,1937-04-17,-0.9,7.9,12.7,0,Саратов
489,1937-04-18,-0.5,10.3,16.3,0,Саратов
490,1937-04-19,1,10.8,17.7,0,Саратов
